Entity,PDFpg,Review,Episose,EpisodeName,NamefromTranscript,Subject,Type,ID,Predicate2,Predicate2Name,Object2,Object2Name,Predicate3,Predicate3Name,Object3,Object3Name,Notes
10,,Complete,https://www.wikidata.org/entity/Q70746620,Miseducation of Larry P,Universal Education,Universal access to education,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q7894104,,,,,,,,,
11,,*Add triple,https://www.wikidata.org/entity/Q70746621,Miseducation of Larry P,Alferd Binet,Alfred Binet,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q207478,,,,,,,,,
12,,Complete,https://www.wikidata.org/entity/Q70746622,Miseducation of Larry P,Theodore Simone,Théodore Simon ,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q969139,http://vocab.getty.edu/ontology#ulan1307_assistant_of,Assistant of,https://www.wikidata.org/entity/Q207478,Alfred Binet,,,,,
13,15,*Add triple,https://www.wikidata.org/entity/Q70746623,Miseducation of Larry P,Mental age,Mental age,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q378697,,,,,,,,,
14,16,*Add triple,https://www.wikidata.org/entity/Q70746624,Miseducation of Larry P,IQ,intelligence quotient,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/wiki/Q170277,,,,,,,,,
15,16,*Add triple,https://www.wikidata.org/entity/Q70746625,Miseducation of Larry P,Charles Spearman,Charles Spearman,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q356611,,,,,,,,,
16,17,*Add triple,https://www.wikidata.org/entity/Q70746626,Miseducation of Larry P,Theory of intelligence,The theory of intelligence and its measurement,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q55878361,,,,,,,,,
17,,*Needs review,https://www.wikidata.org/entity/Q70746627,Miseducation of Larry P,Stuart Richie,,,,,,,,,,,,
18,,*Add triple,https://www.wikidata.org/entity/Q70746628,Miseducation of Larry P,"General intelligence ""G""",general intelligence factor,http://www.w3.org/2004/02/skos/core#Concept,https://www.wikidata.org/entity/Q1753797,,,,,,,,,
19,,*Needs review,https://www.wikidata.org/entity/Q70746629,Miseducation of Larry P,T4,,,,,,,,,,,,
20,20,Complete,https://www.wikidata.org/entity/Q70746630,Miseducation of Larry P,Harold Dent,Harold Dent,http://xmlns.com/foaf/0.1/Person,http://id.loc.gov/rwo/agents/n50001703,http://schema.org/member,Member,https://www.wikidata.org/entity/Q4809651,Association of Black Psycologists,,,,,
21,21,*Needs review,https://www.wikidata.org/entity/Q70746631,Miseducation of Larry P,Rob Peckham,,,,,,,,,,,,
22,21,*Needs review,https://www.wikidata.org/entity/Q70746632,Miseducation of Larry P,Armando Menecal,,,,,,,,,,,,
23,22,Complete,https://www.wikidata.org/entity/Q70746633,Miseducation of Larry P,Asa Hillard,Asa Hillard,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q4803124,http://schema.org/member,Member,https://www.wikidata.org/entity/Q4809651,Association of Black Psycologists,,,,,
24,22,*Type question,https://www.wikidata.org/entity/Q70746634,Miseducation of Larry P,WISC,Wechsler Intelligence Scale for Children,http://courseware.rkbexplorer.com/ontologies/courseware#Assessment-Method,https://www.wikidata.org/entity/Q1572850,,,,,,,,,
25,26,*URI question,https://www.wikidata.org/entity/Q70746635,Miseducation of Larry P,Craig Frisby,Craig L. Frisby,http://xmlns.com/foaf/0.1/Person,https://orcid.org/0000-0002-4387-3640,,,,,,,,,https://www.researchgate.net/profile/Craig_Frisby
26,27,*Needs review,https://www.wikidata.org/entity/Q70746636,Miseducation of Larry P,Arthur Jensen,,,,,,,,,,,,
27,28,*Add triple,https://www.wikidata.org/entity/Q70746637,Miseducation of Larry P,Wilson Riles,Wilson Riles,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q8023186,,,,,,,,,
28,,,,Problem Space,,,,,,,,,,,,,
29,,,,Problem Space,,,,,,,,,,,,,
30,,,,Problem Space,,,,,,,,,,,,,
31,,,,Problem Space,,,,,,,,,,,,,
32,,,,Problem Space,,,,,,,,,,,,,
33,,,,Problem Space,,,,,,,,,,,,,
34,,,,Problem Space,,,,,,,,,,,,,
35,,,,Problem Space,,,,,,,,,,,,,
36,,,,Problem Space,,,,,,,,,,,,,
37,,,,Problem Space,,,,,,,,,,,,,
38,,,,Problem Space,,,,,,,,,,,,,
39,,,,Problem Space,,,,,,,,,,,,,
40,,,,Problem Space,,,,,,,,,,,,,
41,,,,Problem Space,,,,,,,,,,,,,
42,,,,Problem Space,,,,,,,,,,,,,
43,,,,Problem Space,,,,,,,,,,,,,
44,,,,Problem Space,,,,,,,,,,,,,
45,,,,Problem Space,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,
